Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP-0,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
LP-1,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP-2,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP-3,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP-4,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP-5,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP-6,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP-7,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP-8,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP-9,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP-10,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP-11,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
LP-12,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP-13,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP-14,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP-15,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP-16,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
LP-17,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP-18,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP-19,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
LP-20,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP-21,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP-22,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP-23,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP-24,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
LP-25,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP-26,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
LP-27,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP-28,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP-29,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP-30,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
LP-31,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP-32,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP-33,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP-34,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
LP-35,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
LP-36,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
LP-37,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP-38,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP-39,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
LP-40,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
LP-41,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP-42,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
LP-43,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP-44,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
LP-45,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
LP-46,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
LP-47,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
LP-48,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP-49,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP-50,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP-51,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
LP-52,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP-53,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP-54,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP-55,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP-56,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP-57,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
LP-58,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP-59,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP-60,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP-61,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP-62,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP-63,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
LP-64,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP-65,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP-66,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP-67,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
LP-68,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
LP-69,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP-70,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP-71,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP-72,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
LP-73,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
LP-74,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
LP-75,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP-76,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
LP-77,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP-78,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
LP-79,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
LP-80,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP-81,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
LP-82,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP-83,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
